searge,mcp,side,desc
BLACK,BLACK,2,
DARK_BLUE,DARK_BLUE,2,
DARK_GREEN,DARK_GREEN,2,
DARK_AQUA,DARK_AQUA,2,
DARK_RED,DARK_RED,2,
DARK_PURPLE,DARK_PURPLE,2,
GOLD,GOLD,2,
GRAY,GRAY,2,
DARK_GRAY,DARK_GRAY,2,
BLUE,BLUE,2,
GREEN,GREEN,2,
AQUA,AQUA,2,
RED,RED,2,
LIGHT_PURPLE,LIGHT_PURPLE,2,
YELLOW,YELLOW,2,
WHITE,WHITE,2,
OBFUSCATED,OBFUSCATED,2,
BOLD,BOLD,2,
STRIKETHROUGH,STRIKETHROUGH,2,
UNDERLINE,UNDERLINE,2,
ITALIC,ITALIC,2,
RESET,RESET,2,
$VALUES,$VALUES,2,
field_96331_x,NAME_MAPPING,2,
field_96330_y,FORMATTING_CODE_PATTERN,2,
field_175748_y,name,2,
field_96329_z,formattingCode,2,
field_96303_A,fancyStyling,2,
field_96304_B,controlString,2,
field_175747_C,colorIndex,2,
BLACK,BLACK,2,
DARK_BLUE,DARK_BLUE,2,
DARK_GREEN,DARK_GREEN,2,
DARK_AQUA,DARK_AQUA,2,
DARK_RED,DARK_RED,2,
DARK_PURPLE,DARK_PURPLE,2,
GOLD,GOLD,2,
GRAY,GRAY,2,
DARK_GRAY,DARK_GRAY,2,
BLUE,BLUE,2,
GREEN,GREEN,2,
AQUA,AQUA,2,
RED,RED,2,
LIGHT_PURPLE,LIGHT_PURPLE,2,
YELLOW,YELLOW,2,
WHITE,WHITE,2,
OBFUSCATED,OBFUSCATED,2,
BOLD,BOLD,2,
STRIKETHROUGH,STRIKETHROUGH,2,
UNDERLINE,UNDERLINE,2,
ITALIC,ITALIC,2,
RESET,RESET,2,
field_96331_x,NAME_MAPPING,2,
field_96330_y,FORMATTING_CODE_PATTERN,2,
field_175748_y,name,2,
field_96329_z,formattingCode,2,
field_96303_A,fancyStyling,2,
field_96304_B,controlString,2,
field_175747_C,colorIndex,2,
$VALUES,$VALUES,2,
field_147150_a,LOGGER,2,
field_71513_a,description,2,
field_71511_b,cause,2,
field_85061_c,systemDetailsCategory,2,
field_71512_c,crashReportSections,2,
